,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11046,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19698762.0,19698762.0,False,,1,,,,2024-05-15T20:34:00.000Z,66036.49249058605,37580000806.26312,32.5475,0.06266657,7.23015059,7.12820543,4.1753561,-1.68675116,27.57095088,1300837148886.8418,54.5837,1386766342302.31,,2024-05-15T20:34:00.000Z,,,,,,2024-05-15 20:35:31.067424
1,1027,Ethereum,ETH,ethereum,8933,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120116737.01633306,120116737.01633306,True,,2,,,,2024-05-15T20:33:00.000Z,3021.3117621607653,13912207744.928959,11.5426,0.33713925,4.35019547,2.54296736,-2.43970076,-16.40523083,6.65451368,362910110379.8185,15.2183,362910110379.82,,2024-05-15T20:33:00.000Z,,,,,,2024-05-15 20:35:31.067424
2,825,Tether USDt,USDT,tether,85582,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,110952273350.24437,113086550454.8925,True,,3,,,,2024-05-15T20:33:00.000Z,1.0008116471570219,67008734438.546104,16.0736,-0.00520342,0.13370113,0.07764846,0.03809611,0.15519365,-0.00989047,111042327447.47421,4.6565,113178336832.07,,2024-05-15T20:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-05-15 20:35:31.067424
3,1839,BNB,BNB,bnb,2159,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147586599.45644563,147586599.45644563,False,,4,,,,2024-05-15T20:33:00.000Z,586.1750792851562,1868134352.4296594,-2.7951,-0.03069099,3.24637387,0.15476548,5.41575126,-0.09175028,66.29111765,86511586637.80862,3.6278,86511586637.81,,2024-05-15T20:33:00.000Z,,,,,,2024-05-15 20:35:31.067424
4,5426,Solana,SOL,solana,660,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,448656319.677296,576009771.2351508,True,,5,,,,2024-05-15T20:33:00.000Z,155.4891569605184,3203184058.963918,20.6257,0.76539926,8.36229156,9.00298355,12.84364837,-14.27893477,36.67933441,69761192911.63159,2.9254,89563273730.37,,2024-05-15T20:33:00.000Z,,,,,,2024-05-15 20:35:31.067424
5,3408,USDC,USDC,usd-coin,19112,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,33123479150.22189,33123479150.22189,False,,6,,,,2024-05-15T20:33:00.000Z,1.0000982536402179,7681138244.739095,33.1074,-0.01015081,0.00248149,-0.00026177,0.01514446,0.0066926,0.00697058,33126733652.62508,1.3891,33126733652.63,,2024-05-15T20:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-05-15 20:35:31.067424
6,52,XRP,XRP,xrp,1316,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55359176420.0,99987633657.0,False,,7,,,,2024-05-15T20:34:00.000Z,0.5184100148519293,1106733345.1311648,4.3042,0.25359663,2.68855969,-0.21748129,4.3415969,-15.12796052,-6.99060841,28698751470.08277,1.2035,51841001485.19,,2024-05-15T20:34:00.000Z,,,,,,2024-05-15 20:35:31.067424
7,11419,Toncoin,TON,toncoin,325,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3474160632.096263,5106643355.034839,True,,8,3414166606.0,23906887678.264336,,2024-05-15T20:33:00.000Z,7.002261587425396,322387877.39366305,-35.2967,0.20925362,-0.08725155,22.55077764,4.90071734,95.43275246,217.25239346,24326981542.673195,1.0218,35758052605.64,,2024-05-15T20:33:00.000Z,,,,,,2024-05-15 20:35:31.067424
8,74,Dogecoin,DOGE,dogecoin,965,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144304596383.70526,144304596383.70526,True,,9,,,,2024-05-15T20:34:00.000Z,0.1543977188799732,1655659174.835742,-12.9541,0.93536692,5.11819085,7.16992999,-3.39243408,6.9778152,81.45184695,22280300505.53932,0.9343,22280300505.54,,2024-05-15T20:34:00.000Z,,,,,,2024-05-15 20:35:31.067424
9,2010,Cardano,ADA,cardano,1170,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35670891188.334,36883631806.182,False,,10,,,,2024-05-15T20:33:00.000Z,0.45218984584939603,341277287.02096725,6.4594,0.74712327,4.83294831,-1.33046599,-0.67460849,-32.29038752,-24.63452819,16130014787.76333,0.6775,20348543063.22,,2024-05-15T20:33:00.000Z,,,,,,2024-05-15 20:35:31.067424
